Lachnospiraceae,542
Unclassified,1232
Bacteroidaceae,648
Ruminococcaceae,975
Burkholderiaceae,49
Rikenellaceae,159
Tannerellaceae,93
Prevotellaceae,73
Acidaminococcaceae,22
Family XIII,6
Akkermansiaceae,27
Marinifilaceae,19
Veillonellaceae,47
Erysipelotrichaceae,27
Christensenellaceae,27
Desulfovibrionaceae,3
Peptostreptococcaceae,4
Barnesiellaceae,31
Lactobacillaceae,3
Peptococcaceae,4
Coriobacteriaceae,2
Campylobacteraceae,1
Victivallaceae,4
Clostridiaceae 1,3
Leeiaceae,2
Neisseriaceae,1
Magnetospiraceae,1
Streptococcaceae,5
Planococcaceae,1
Kiloniellaceae,3
Clostridiaceae 2,1
