Unclassified,2843
Bacteroides,648
Blautia,57
Roseburia,69
Alistipes,143
Parabacteroides,93
Oscillibacter,41
Ruminococcus 2,50
Lachnoclostridium,45
Prevotella 9,65
Akkermansia,27
Odoribacter,8
Dialister,24
Agathobacter,96
Lachnoclostridium 5,4
Christensenellaceae R-7 group,22
Fusicatenibacter,8
Faecalibacterium,59
Sutterella,10
Ruminococcus 1,79
Coprococcus 2,4
Butyricicoccus,8
Barnesiella,28
Anaerostipes,7
Anaerotruncus,2
[Ruminococcus] torques group,24
Butyricimonas,2
Lactobacillus,3
Ruminiclostridium,4
Tyzzerella,6
Prevotella,1
Thermincola,1
Lachnospira,5
Subdoligranulum,3
Campylobacter,1
Ruminiclostridium 9,1
Veillonella,5
Ruminiclostridium 6,10
Dorea,3
Megasphaera,4
Paraprevotella,3
Coprococcus 1,2
Victivallis,4
Clostridium sensu stricto 1,3
Leeia,2
Pseudobutyrivibrio,2
[Eubacterium] nodatum group,1
Breznakia,4
Neisseria,1
Desulfovibrio,2
Coprococcus 3,2
[Eubacterium] xylanophilum group,3
Butyrivibrio,2
Magnetospira,1
[Ruminococcus] gnavus group,8
Intestinimonas,1
Streptococcus,5
Kurthia,1
Lachnoclostridium 10,2
Kiloniella,3
Prevotella 7,2
Ruminiclostridium 5,3
Phascolarctobacterium,2
Catenisphaera,1
Romboutsia,3
Phocea,1
Tyzzerella 3,1
Clostridium sensu stricto,1
[Eubacterium] ventriosum group,1
Oxalobacter,1
Saccharofermentans,1
Acidaminococcus,1
Candidatus Soleaferrea,1
Eisenbergiella,2
Peptococcus,2
