#partition assignment criteria: Assign read to the parition(s) that exceeds the 0.5 proportion in the candidate (outlier) set (first_flag=False).
#read	db_seqs_in_winning_partitions	partition_num(winner)	partition_counts	candidate_db_seqs(outliers)	size_of_candidate_db_seqs_set
OTU_97.10002	CP003040.625894.627428;LN907765.1.1501;FNWC01000005.152430.153940;AJ270480.1.1508;MJHW01000006.25639.27181;FP929050.3523936.3525456;EU728761.1.1478;AJ270478.1.1488;AB661434.1.1493;HZ486327.1.1480;AJ270474.1.1508;FM954976.1.1379;EU728765.1.1490;FR733672.1.1521;MJHW01000010.137401.138943;CYYR01000011.927.2431;LG086232.1.1497;EU728794.1.1457;JX629262.1.1454;AJWY01001902.613.2139;AJ312385.1.1482;CP003040.25465.26999;CP003040.1035384.1036918;DQ382351.1.1485;HZ486325.1.1497;AY804150.1.1497;MJHW01000015.411.1953;AB661435.1.1494;CYXV01000011.416.1929;AY804149.1.1497;MJHW01000011.2914.4456;CP003040.3095887.3097421;FNWC01000007.2759670.2761180;AB661436.1.1494;BABG01001111.245.1757;AY305310.1.1456;GU233441.1.1371;L34421.1.1481;AJ312386.1.1485;AJ270473.1.1454;HM007565.1.1329;MJHW01000008.255583.257125;LT598553.1.1494;AJ270479.1.1487;MJHW01000007.2914.4456;CVRR01000056.45.1566;AJ270482.1.1485;CYZJ01000002.353627.355138	2	2:12	LN907765.1.1501;FR733672.1.1521;CP003040.3095887.3097421;FP929050.3523936.3525456;AB661435.1.1494;AJ312385.1.1482;CP003040.25465.26999;CP003040.1035384.1036918;CP003040.625894.627428;CYZJ01000002.353627.355138;AJ270480.1.1508;AB661434.1.1493	12
OTU_97.10005	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	17	17:22	CXSE01001446.1371.2879;HZ485108.9.1517;LN907744.1.1483;AE015928.4983424.4984906;AE015928.2340709.2342191;AE015928.3328965.3330446;AE015928.3034714.3036195;CP012937.5517779.5519304;M58763.1.1482;CVOZ01000063.228971.230480;CZBI01000005.3650.5158;EU136679.1.1995;AB510710.1.1461;AB050109.1.1426;AGDG01000041.493.2001;CZAE01000003.99809.101321;L16489.1.1475;AY319395.1.1449;AB547640.1.1475;GQ496624.1.1458;KP944123.1.1436;GQ496623.1.1463	22
OTU_97.10008	AY169411.1.1488;EF036467.1.1438;EU728791.1.1489;LG085094.1.1491;AY960563.1.1461;HZ485188.1.1468;ACII02000003.356829.358346;FQLI01000007.588420.589929;ACII02000003.441978.443495;HZ485187.1.1491;AY960566.1.1458;FLKC01000026.175.1601;LT631515.1.1452;FAVI01000008.1299692.1301201;AB691576.1.1481;LG085098.1.1481;LT714168.1.1432;FLKC01000014.123770.125280;HZ486356.2.1508;AB439724.1.1468;ACII02000003.48546.50064;HZ485191.1.1481;LT631543.1.1453;LT799002.1.1453;FQLI01000007.11395.12904;AY169424.1.1486;FAVI01000009.296310.297819;CZBA01000012.112579.114088;ACII02000001.1367.2884;X85101.1.1457;FLKC01000022.431649.433070;ACII02000002.195966.197483;FJVH01000009.22.1531;LN907760.1.1486;EU728792.1.1580;ACII02000002.340713.342230;EU728770.1.1485;AY305321.1.1452;FAVI01000008.1703276.1704567;HZ486354.1.1490;BABE01000945.62.1571;BABE01000244.3185.4694;L76601.1.1398;DQ986224.1.1438;AY169419.1.1490;FJVH01000013.367445.368954;FQLI01000007.276997.278506;LC010692.1.1492;FJ687607.1.1443;FLKC01000027.74000.75510;AB588023.1.1491;LC037229.1.1439;LG085095.1.1468;FQLI01000008.332592.334101;EU728789.1.1445;LT161889.1.1493;AF357567.1.1385;FQLI01000005.603062.604571;FQLI01000004.765.2274;BABE01000454.586.2095;AY305322.1.1451;LG086263.2.1508	7	7:54	ACII02000001.1367.2884;BABE01000454.586.2095;FJVH01000009.22.1531;LT161889.1.1493;LC037229.1.1439;ACII02000003.441978.443495;HZ486356.2.1508;LG086263.2.1508;ACII02000003.48546.50064;ACII02000002.195966.197483;ACII02000003.356829.358346;ACII02000002.340713.342230;FJVH01000013.367445.368954;LC010692.1.1492;LN907760.1.1486;LG085098.1.1481;HZ485191.1.1481;AB691576.1.1481;BABE01000945.62.1571;FAVI01000008.1703276.1704567;FAVI01000008.1299692.1301201;LT714168.1.1432;HZ486354.1.1490;AY169419.1.1490;AY960563.1.1461;BABE01000244.3185.4694;FAVI01000009.296310.297819;EU728789.1.1445;FLKC01000026.175.1601;FLKC01000027.74000.75510;AY169424.1.1486;EU728770.1.1485;FLKC01000014.123770.125280;AY960566.1.1458;EU728792.1.1580;AY305321.1.1452;CZBA01000012.112579.114088;FLKC01000022.431649.433070;AY305322.1.1451;EU728791.1.1489;AY169411.1.1488;AF357567.1.1385;LT631543.1.1453;FQLI01000004.765.2274;FQLI01000008.332592.334101;LT799002.1.1453;FQLI01000007.276997.278506;FQLI01000005.603062.604571;FQLI01000007.588420.589929;FQLI01000007.11395.12904;LG085094.1.1491;HZ485187.1.1491;AB588023.1.1491;X85101.1.1457	54
OTU_97.10029	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;118:1;119:1;120:1	LQ500123.51.1533;BAAX01000131.813.2303;LQ500131.1.1474;AJ413954.1.1462;X85022.1.1499;BAAX01000205.681.2171;BAAU01000686.2038.3530;HQ457025.1.1483;BAAY01001326.446.1936;LQ500116.1.1474;BAAX01000042.422.1912;BABA01001765.248.1738;BABG01000480.1321.2811;BABG01001611.30.1520;BABA01001556.422.1912;LQ500117.1.1474;BAAY01000303.996.2486;BABD01001073.183.1673;BAAY01002722.335.1825;BAAX01000694.431.1921;CYGL01005916.57.1552;BAAV01000571.2640.4130;BABG01000051.2348.3838;BAAY01001463.1184.2674;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;EU728786.1.1477;DQ057482.1.1450;FAUK01000014.218606.220097;LN846908.1.1491;DQ057481.1.1439	32
OTU_97.10034	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;120:1	BAAV01000571.2640.4130;BAAY01002722.335.1825;BAAY01001326.446.1936;CYGL01005916.57.1552;BAAU01000686.2038.3530;BABG01001611.30.1520;BABD01001073.183.1673;BAAX01000694.431.1921;BAAX01000205.681.2171;LQ500117.1.1474;BAAX01000042.422.1912;BABA01001765.248.1738;BABG01000051.2348.3838;BAAX01000131.813.2303;BABA01001556.422.1912;BAAY01001463.1184.2674;LQ500116.1.1474;X85022.1.1499;BABG01000480.1321.2811;BAAY01000303.996.2486;LQ500123.51.1533;AJ413954.1.1462;HQ457025.1.1483;LQ500131.1.1474;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;DQ057482.1.1450;EU728786.1.1477;DQ057481.1.1439	30
OTU_97.10035	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	17	19:3;17:7	BABG01004725.10.1478;CXSE01001446.1371.2879;HZ485108.9.1517;HZ485132.1.1509;LN907744.1.1483;AE015928.4983424.4984906;AE015928.2340709.2342191;ADMP01000058.91.1599;AE015928.3328965.3330446;AE015928.3034714.3036195	10
OTU_97.10048	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;120:1	BAAY01001463.1184.2674;BABD01001073.183.1673;BABG01000051.2348.3838;BAAX01000694.431.1921;BAAX01000205.681.2171;BAAX01000042.422.1912;BAAU01000686.2038.3530;BAAY01002722.335.1825;LQ500116.1.1474;CYGL01005916.57.1552;BAAV01000571.2640.4130;BABG01001611.30.1520;BABA01001765.248.1738;AJ413954.1.1462;BAAY01001326.446.1936;BAAX01000131.813.2303;LQ500123.51.1533;LQ500117.1.1474;X85022.1.1499;BABA01001556.422.1912;BAAY01000303.996.2486;LQ500131.1.1474;HQ457025.1.1483;BABG01000480.1321.2811;JN713314.1.1504;EU728783.1.1433;AY169430.1.1474;DQ057482.1.1450;EU728786.1.1477;DQ057481.1.1439	30
OTU_97.10057	AFBP01000029.162.1691;AB370250.1.1494	39	39:2;121:1;122:1	AFBP01000029.162.1691;AB370250.1.1494;LARC01000079.436.1820;CP015403.1230360.1231913	4
OTU_97.10058	NA	NA	115:4;123:1;124:1;125:1;126:1;127:1;128:1;129:1;130:1;131:1;132:1;133:1;134:1;135:1;136:1;137:1;138:1;139:1;140:1;141:1;142:1;143:1;144:1;145:1;146:1	HF545616.962351.963857;HF545616.1595630.1597136;HF545617.337862.339368;HF545616.164905.166411;FOAT01000040.3592.5104;AF104833.1.1459;AF104839.1.1466;AF030451.1.1459;AB849340.1.1445;AB849341.1.1449;AY445602.1.1501;JMMA01000002.1983613.1985105;AB538438.1.1472;CP002403.1548328.1549826;CP002403.417348.418847;CP002403.2867312.2868810;CP002403.3675459.3676957;AY445600.1.1503;L76598.1.1407;AB849339.1.1445;EU445110.1.1200;DL242959.1.1443;AB301912.1.1443;HQ404370.1.1432;KF697933.1.1405;JHXH01000008.774.2270;FNLI01000001.906.2398;JOOA01000002.604280.605769	28
OTU_97.10059	HF545616.1595630.1597136;HF545616.164905.166411;HF545617.337862.339368;HF545616.962351.963857	115	115:4;130:1;145:1;144:1;146:1	HF545616.962351.963857;HF545616.1595630.1597136;HF545617.337862.339368;HF545616.164905.166411;JMMA01000002.1983613.1985105;FNLI01000001.906.2398;JHXH01000008.774.2270;JOOA01000002.604280.605769	8
