#db_sequence	partition_number
KP233393.1.1435	0
AB616131.1.1467	0
KP233398.1.1437	0
AB011816.1.1463	0
AB595135.1.1467	0
AB011815.1.1463	0
LT223656.1.1471	0
AAVN02000013.41003.42488	0
KP233299.1.1438	0
AAVN02000007.3232.4717	0
AAVN02000009.318.1803	0
KP233396.1.1435	0
KP233441.1.1437	0
AAVN02000007.139898.141384	0
AJ131149.1.1456	0
AJ131150.1.1456	0
AB011814.1.1480	0
LF135638.7.1475	1
CP003040.625894.627428	2
LC053840.1.1493	3
LN907765.1.1501	2
JX101687.1.1487	4
KF698192.1.1425	5
EU980608.1.1520	4
CYZK01000040.552.2062	4
FTLN01000070.42442.43953	3
AY699283.1.1524	5
FR749920.1.1525	4
HZ485325.10.1478	1
FNWC01000005.152430.153940	2
AB601095.1.1495	1
CS600346.9.1480	4
FJUS01000002.1025747.1027259	6
AY169411.1.1488	7
AAVP02000002.246738.248249	4
AY169422.1.1490	8
AF357572.1.1411	4
AF479585.1.1493	3
L34619.1.1479	4
AGYR01000091.6527.8046	1
AF445285.1.1525	4
AB196512.1.1455	4
LF651698.2.1512	4
EF036467.1.1438	7
JX006510.1.1418	1
AJ270480.1.1508	2
AJ315979.1.1406	4
ACTM01000065.528.2046	4
LDAQ01000152.353.1865	4
LT799004.1.1494	1
MJHW01000006.25639.27181	2
JQ607674.1.1411	1
HZ485309.3.1512	1
LG085333.2.1512	4
EU728791.1.1489	7
AGYI01000024.30671.32190	1
LG085094.1.1491	7
AY960563.1.1461	7
FR749945.1.1521	4
FP929050.3523936.3525456	2
AZJF01000008.74711.76229	6
FR749935.1.1522	4
KX024579.1.1415	1
EU728761.1.1478	2
AB600998.1.1493	4
HZ485426.2.1512	4
BAAU01002801.360.1869	4
DQ223883.1.1419	3
ADBG01000142.461.1973	4
DQ497994.1.1431	5
LF651214.3.1514	4
CZBB01000008.97394.98904	8
LC036310.1.1493	1
AAVP02000040.351.1861	4
L34420.1.1479	5
CP001107.2162771.2164291	9
BABD01000630.3115.4627	9
HZ485188.1.1468	7
CP015405.3598712.3600253	4
JQ607170.1.1413	1
ACII02000003.356829.358346	7
FQLI01000007.588420.589929	7
ACII02000003.441978.443495	7
AGYR01000051.190.1709	1
FQLT01000003.449641.451153	4
HZ485583.1.1509	4
CP015405.196247.197788	4
LF133678.9.1512	3
CZAB01000004.3636.5162	1
LG085221.10.1521	1
CZBS01000001.376463.377973	4
HZ485187.1.1491	7
AY960566.1.1458	7
FLKC01000026.175.1601	7
ATXD01000010.435010.436521	3
HZ486360.2.1513	4
AB233029.1.1493	4
AJ270478.1.1488	2
LN907761.1.1420	1
LT631515.1.1452	7
HZ486353.2.1514	4
FAVI01000008.1299692.1301201	7
AB601068.1.1493	1
AGYN01000030.223142.224661	1
CP001107.763005.764525	9
JN713312.1.1522	6
AB691576.1.1481	7
BAAZ01003957.403.1825	5
LG085098.1.1481	7
AGYO01000053.22976.24495	1
LT714168.1.1432	7
BABG01001469.752.2264	5
HZ405973.2.1426	6
JQ607889.1.1420	1
JQ607618.1.1421	1
AGYI01000033.489239.490760	1
AB661434.1.1493	2
EU728703.1.1464	4
FLKC01000014.123770.125280	7
CP001104.413153.414672	5
X94967.1.1481	6
AGYQ01000046.22106.23625	1
AAXA02000015.452491.454009	4
AB125231.1.1455	4
AGYO01000012.252945.254464	1
HZ486327.1.1480	2
CYYW01000006.154776.156288	9
FR749937.1.1523	4
AGYM01000093.6884.8395	1
X73449.1.1522	3
M59109.1.1537	4
L76604.1.1418	4
HZ485192.1.1493	4
DQ681227.1.1525	4
HZ486356.2.1508	7
FCFA01000064.53.1563	6
LF135710.9.1512	3
M59089.1.1476	1
AAVP02000029.271.1782	4
AGYM01000039.482.2001	1
AB439724.1.1468	7
ABOU02000049.4536.6056	4
ACII02000003.48546.50064	7
KF698021.1.1424	5
FP929042.53.1573	9
CP001107.10914.12434	9
KP944172.1.1433	1
LG086260.2.1514	4
BAAX01000752.408.1920	4
L76602.1.1402	4
LG085099.1.1493	4
AJ270474.1.1508	2
CZAL01000009.543.2053	8
BAHU02000044.30.1543	1
CP015399.4757278.4758820	1
LF651689.1.1511	4
HZ485191.1.1481	7
LT631543.1.1453	7
JQ607423.1.1432	1
ADLL01000101.290.1809	1
LT799002.1.1453	7
LT598587.1.1497	4
FQLI01000007.11395.12904	7
FJUS01000002.1288627.1290141	6
ATXD01000006.1537923.1539434	3
FM954976.1.1379	2
Y11568.1.1495	3
AB571656.1.1493	4
AGYS01000013.1264.2783	1
AAVP02000025.9720.11231	4
EU728765.1.1490	2
AB971794.1.1494	3
AY169424.1.1486	7
AJ582080.1.1468	1
FAVI01000009.296310.297819	7
CZBA01000012.112579.114088	7
FR749919.1.1525	4
AB601097.1.1495	1
FR733672.1.1521	2
ACII02000001.1367.2884	7
AB673452.1.1494	3
BBZR01000066.208.1712	4
MJHW01000010.137401.138943	2
ATXD01000006.1289811.1291322	3
LF134083.1.1511	4
CP015405.4239136.4240677	4
CP001104.697435.698953	5
AB610549.1.1493	1
CYYR01000011.927.2431	2
LG086258.1.1481	6
LG086232.1.1497	2
X85101.1.1457	7
AB818947.1.1494	4
L34627.1.1468	9
KX553977.1.1487	3
FLKC01000022.431649.433070	7
EU728794.1.1457	2
AGYJ01000003.3560.5081	1
FJUS01000004.641468.642981	6
HZ485589.1.1509	4
LG085216.3.1512	1
ATXD01000006.73781.75292	3
CP015405.2331703.2333244	4
BABG01000033.258.1769	5
JX629262.1.1454	2
CP001104.872242.873760	5
AZJF01000011.59.1577	6
ADLK01000048.472.1991	1
AY169428.1.1492	9
ACII02000002.195966.197483	7
FJVH01000009.22.1531	7
FJ611794.1.1404	4
AJWY01001902.613.2139	2
CP001107.1425077.1426597	9
CP015399.3415150.3416692	1
ABQR01000074.101.1610	1
AJ312385.1.1482	2
AZJF01000006.127126.128644	6
MJID01000001.1580.3121	9
AY804151.1.1496	9
LN907760.1.1486	7
JQ607133.1.1402	1
LG085496.1.1509	4
JQ607414.1.1420	1
CP015399.3646225.3647767	1
EU728756.1.1349	1
CP003040.25465.26999	2
AZJF01000012.178214.179732	6
LN907762.1.1481	6
EU728792.1.1580	7
CP003040.1035384.1036918	2
ACII02000002.340713.342230	7
FR749936.1.1524	4
DQ279737.1.1420	1
ADLI01000057.190.1709	1
AGYL01000062.30.1549	1
DQ382351.1.1485	2
HZ486325.1.1497	2
AZJE01000001.34797.36315	4
AY804150.1.1497	2
LT598580.1.1496	4
HZ485379.2.1514	4
EU728770.1.1485	7
EU377662.1.1346	4
FR749946.1.1524	4
ADLU01000111.254.1772	4
BAAV01003125.60.1537	5
AGYS01000047.96656.98175	1
AZJE01000010.133433.134953	4
AY442826.1.1528	9
FAVJ01000004.312430.313940	4
FBWO01000165.23.1542	1
MJHW01000015.411.1953	2
AY305321.1.1452	7
GU269544.1.1452	5
AB661435.1.1494	2
AGYH01000002.22164.23685	1
LF135440.1.1493	4
AJ270475.1.1506	9
FAVI01000008.1703276.1704567	7
EU139255.1.1497	6
LF134092.2.1512	4
CYZG01000006.184734.186245	6
AY442817.1.1520	9
HZ486354.1.1490	7
BBDW01000030.73.1604	4
LV535197.9.1512	3
BABA01004003.155.1665	4
JQ607167.1.1429	1
FR749917.1.1525	4
MJID01000039.570.2111	9
LG086267.2.1513	4
BABE01000945.62.1571	7
BABE01000244.3185.4694	7
FR749918.1.1525	4
LF134149.1.1452	5
AB698910.1.1423	8
ACTN01000028.390.1908	4
L76601.1.1398	7
CYYV01000001.321800.323312	8
LF651284.9.1512	3
EF564277.1.1454	1
CYXV01000011.416.1929	2
HZ485186.1.1493	4
AJ508452.1.1498	1
LG104461.1.1511	4
FBWN01000103.90.1609	3
FJUS01000004.484423.485935	6
DQ986224.1.1438	7
AZJE01000019.81382.82902	4
AB601065.1.1493	1
HZ485395.9.1512	3
Y18184.1.1488	1
CVTZ01000007.99269.100776	4
JQ607063.1.1409	1
LF136181.1.1452	5
AZJE01000037.2302.3820	4
AY169419.1.1490	7
HZ485517.10.1520	4
LG104470.2.1512	4
LBCG01000143.29282.30792	8
AY804149.1.1497	2
MJHW01000011.2914.4456	2
JX006319.1.1411	1
AGYH01000014.28348.29869	1
BAIC02000310.62.1571	1
LF133408.1.1493	4
CP003040.3095887.3097421	2
FJVH01000013.367445.368954	7
FQLI01000007.276997.278506	7
D14137.1.1385	4
AB698912.1.1514	8
JQ607411.1.1430	1
JX006718.1.1406	1
LC010692.1.1492	7
FJ687607.1.1443	7
L76597.1.1423	6
FNWC01000007.2759670.2761180	2
CP015405.210899.212440	4
FR749938.1.1523	4
CZAC01000011.116399.117910	4
FLKC01000027.74000.75510	7
DQ479419.1.1496	3
AB698915.1.1508	8
AB661436.1.1494	2
ATXD01000010.694849.696360	3
AGYP01000019.668.2187	1
BABG01001111.245.1757	2
AB588023.1.1491	7
JX629259.1.1464	9
AY305310.1.1456	2
LC037229.1.1439	7
LG085095.1.1468	7
AAXA02000015.760903.762421	4
ACWP01000059.374.1892	4
GU233441.1.1371	2
LG085424.10.1520	4
L34421.1.1481	2
AGYM01000061.547.2066	1
AGYS01000010.342878.344397	1
CP001107.307101.308621	9
EF564278.1.1452	1
FP929043.489815.491335	9
FQLI01000008.332592.334101	7
CYZU01000015.70.1582	4
ACCJ01000522.48.1565	1
EU728789.1.1445	7
FQLT01000002.339798.341310	4
LT631508.1.1496	4
LT161889.1.1493	7
JQ606856.1.1425	1
AZJE01000017.49865.51385	4
CVTZ01000011.472188.473700	4
AAXA02000016.197379.198897	4
AJ312386.1.1485	2
GU985201.1.1526	4
AJ270473.1.1454	2
LG085302.9.1512	3
LG104056.9.1512	3
AGYM01000049.26155.27674	1
HM007565.1.1329	2
JQ607719.1.1421	1
MJHW01000008.255583.257125	2
AGYH01000014.179835.181354	1
JQ606956.1.1417	1
LT598553.1.1494	2
LT576406.1.1493	1
LF651212.7.1475	1
AF357567.1.1385	7
LG085490.1.1509	4
AAXA02000014.354465.355983	4
X76739.8.1448	1
FQLI01000005.603062.604571	7
AJ270479.1.1487	2
EF031542.1.1453	4
MJHW01000007.2914.4456	2
ACTO01000052.73479.74998	6
HZ486351.1.1481	6
JQ607655.1.1401	1
CP015399.1569951.1571493	1
FOIP01000001.1198700.1200235	3
Y10028.1.1487	1
BAAU01001541.140.1647	1
JX006262.1.1421	1
FQLI01000004.765.2274	7
BABE01000454.586.2095	7
AY305322.1.1451	7
ATXD01000011.127650.129161	3
CP015399.4748579.4750121	1
