#partition_num	db_seqs	size_of_partition
0	KP233393.1.1435;AB616131.1.1467;KP233398.1.1437;AB011816.1.1463;AB595135.1.1467;AB011815.1.1463;LT223656.1.1471;AAVN02000013.41003.42488;KP233299.1.1438;AAVN02000007.3232.4717;AAVN02000009.318.1803;KP233396.1.1435;KP233441.1.1437;AAVN02000007.139898.141384;AJ131149.1.1456;AJ131150.1.1456;AB011814.1.1480	17
1	LF135638.7.1475;HZ485325.10.1478;AB601095.1.1495;AGYR01000091.6527.8046;JX006510.1.1418;LT799004.1.1494;JQ607674.1.1411;HZ485309.3.1512;AGYI01000024.30671.32190;KX024579.1.1415;LC036310.1.1493;JQ607170.1.1413;AGYR01000051.190.1709;CZAB01000004.3636.5162;LG085221.10.1521;LN907761.1.1420;AB601068.1.1493;AGYN01000030.223142.224661;AGYO01000053.22976.24495;JQ607889.1.1420;JQ607618.1.1421;AGYI01000033.489239.490760;AGYQ01000046.22106.23625;AGYO01000012.252945.254464;AGYM01000093.6884.8395;M59089.1.1476;AGYM01000039.482.2001;KP944172.1.1433;BAHU02000044.30.1543;CP015399.4757278.4758820;JQ607423.1.1432;ADLL01000101.290.1809;AGYS01000013.1264.2783;AJ582080.1.1468;AB601097.1.1495;AB610549.1.1493;AGYJ01000003.3560.5081;LG085216.3.1512;ADLK01000048.472.1991;CP015399.3415150.3416692;ABQR01000074.101.1610;JQ607133.1.1402;JQ607414.1.1420;CP015399.3646225.3647767;EU728756.1.1349;DQ279737.1.1420;ADLI01000057.190.1709;AGYL01000062.30.1549;AGYS01000047.96656.98175;FBWO01000165.23.1542;AGYH01000002.22164.23685;JQ607167.1.1429;EF564277.1.1454;AJ508452.1.1498;AB601065.1.1493;Y18184.1.1488;JQ607063.1.1409;JX006319.1.1411;AGYH01000014.28348.29869;BAIC02000310.62.1571;JQ607411.1.1430;JX006718.1.1406;AGYP01000019.668.2187;AGYM01000061.547.2066;AGYS01000010.342878.344397;EF564278.1.1452;ACCJ01000522.48.1565;JQ606856.1.1425;AGYM01000049.26155.27674;JQ607719.1.1421;AGYH01000014.179835.181354;JQ606956.1.1417;LT576406.1.1493;LF651212.7.1475;X76739.8.1448;JQ607655.1.1401;CP015399.1569951.1571493;Y10028.1.1487;BAAU01001541.140.1647;JX006262.1.1421;CP015399.4748579.4750121;JYHN01000039.122501.124020;AB601066.1.1493;JQ607363.1.1418;AGYN01000032.129627.131146;JQ607142.1.1419;HZ485314.10.1521;JQ606955.1.1418;AGYN01000029.1538.3057	89
2	CP003040.625894.627428;LN907765.1.1501;FNWC01000005.152430.153940;AJ270480.1.1508;MJHW01000006.25639.27181;FP929050.3523936.3525456;EU728761.1.1478;AJ270478.1.1488;AB661434.1.1493;HZ486327.1.1480;AJ270474.1.1508;FM954976.1.1379;EU728765.1.1490;FR733672.1.1521;MJHW01000010.137401.138943;CYYR01000011.927.2431;LG086232.1.1497;EU728794.1.1457;JX629262.1.1454;AJWY01001902.613.2139;AJ312385.1.1482;CP003040.25465.26999;CP003040.1035384.1036918;DQ382351.1.1485;HZ486325.1.1497;AY804150.1.1497;MJHW01000015.411.1953;AB661435.1.1494;CYXV01000011.416.1929;AY804149.1.1497;MJHW01000011.2914.4456;CP003040.3095887.3097421;FNWC01000007.2759670.2761180;AB661436.1.1494;BABG01001111.245.1757;AY305310.1.1456;GU233441.1.1371;L34421.1.1481;AJ312386.1.1485;AJ270473.1.1454;HM007565.1.1329;MJHW01000008.255583.257125;LT598553.1.1494;AJ270479.1.1487;MJHW01000007.2914.4456;CVRR01000056.45.1566;AJ270482.1.1485;CYZJ01000002.353627.355138	48
3	LC053840.1.1493;FTLN01000070.42442.43953;AF479585.1.1493;DQ223883.1.1419;LF133678.9.1512;ATXD01000010.435010.436521;X73449.1.1522;LF135710.9.1512;ATXD01000006.1537923.1539434;Y11568.1.1495;AB971794.1.1494;AB673452.1.1494;ATXD01000006.1289811.1291322;KX553977.1.1487;ATXD01000006.73781.75292;LV535197.9.1512;LF651284.9.1512;FBWN01000103.90.1609;HZ485395.9.1512;DQ479419.1.1496;ATXD01000010.694849.696360;LG085302.9.1512;LG104056.9.1512;FOIP01000001.1198700.1200235;ATXD01000011.127650.129161;DQ479411.1.1496	26
4	JX101687.1.1487;EU980608.1.1520;CYZK01000040.552.2062;FR749920.1.1525;CS600346.9.1480;AAVP02000002.246738.248249;AF357572.1.1411;L34619.1.1479;AF445285.1.1525;AB196512.1.1455;LF651698.2.1512;AJ315979.1.1406;ACTM01000065.528.2046;LDAQ01000152.353.1865;LG085333.2.1512;FR749945.1.1521;FR749935.1.1522;AB600998.1.1493;HZ485426.2.1512;BAAU01002801.360.1869;ADBG01000142.461.1973;LF651214.3.1514;AAVP02000040.351.1861;CP015405.3598712.3600253;FQLT01000003.449641.451153;HZ485583.1.1509;CP015405.196247.197788;CZBS01000001.376463.377973;HZ486360.2.1513;AB233029.1.1493;HZ486353.2.1514;EU728703.1.1464;AAXA02000015.452491.454009;AB125231.1.1455;FR749937.1.1523;M59109.1.1537;L76604.1.1418;HZ485192.1.1493;DQ681227.1.1525;AAVP02000029.271.1782;ABOU02000049.4536.6056;LG086260.2.1514;BAAX01000752.408.1920;L76602.1.1402;LG085099.1.1493;LF651689.1.1511;LT598587.1.1497;AB571656.1.1493;AAVP02000025.9720.11231;FR749919.1.1525;BBZR01000066.208.1712;LF134083.1.1511;CP015405.4239136.4240677;AB818947.1.1494;HZ485589.1.1509;CP015405.2331703.2333244;FJ611794.1.1404;LG085496.1.1509;FR749936.1.1524;AZJE01000001.34797.36315;LT598580.1.1496;HZ485379.2.1514;EU377662.1.1346;FR749946.1.1524;ADLU01000111.254.1772;AZJE01000010.133433.134953;FAVJ01000004.312430.313940;LF135440.1.1493;LF134092.2.1512;BBDW01000030.73.1604;BABA01004003.155.1665;FR749917.1.1525;LG086267.2.1513;FR749918.1.1525;ACTN01000028.390.1908;HZ485186.1.1493;LG104461.1.1511;AZJE01000019.81382.82902;CVTZ01000007.99269.100776;AZJE01000037.2302.3820;HZ485517.10.1520;LG104470.2.1512;LF133408.1.1493;D14137.1.1385;CP015405.210899.212440;FR749938.1.1523;CZAC01000011.116399.117910;AAXA02000015.760903.762421;ACWP01000059.374.1892;LG085424.10.1520;CYZU01000015.70.1582;FQLT01000002.339798.341310;LT631508.1.1496;AZJE01000017.49865.51385;CVTZ01000011.472188.473700;AAXA02000016.197379.198897;GU985201.1.1526;LG085490.1.1509;AAXA02000014.354465.355983;EF031542.1.1453;CYZO01000012.74868.76378;KR364747.1.1521;AAXA02000006.102304.103822;CZAX01000013.119867.121377;FP929055.159.1677;ABVR01000038.1362.2880;CZAC01000092.963.2475;FR749921.1.1525;LF651014.1.1493	109
5	KF698192.1.1425;AY699283.1.1524;DQ497994.1.1431;L34420.1.1479;BAAZ01003957.403.1825;BABG01001469.752.2264;CP001104.413153.414672;KF698021.1.1424;CP001104.697435.698953;BABG01000033.258.1769;CP001104.872242.873760;BAAV01003125.60.1537;GU269544.1.1452;LF134149.1.1452;LF136181.1.1452;CP001104.15561.17079;CP001104.2029863.2031381	17
6	FJUS01000002.1025747.1027259;AZJF01000008.74711.76229;JN713312.1.1522;HZ405973.2.1426;X94967.1.1481;FCFA01000064.53.1563;FJUS01000002.1288627.1290141;LG086258.1.1481;FJUS01000004.641468.642981;AZJF01000011.59.1577;AZJF01000006.127126.128644;AZJF01000012.178214.179732;LN907762.1.1481;EU139255.1.1497;CYZG01000006.184734.186245;FJUS01000004.484423.485935;L76597.1.1423;ACTO01000052.73479.74998;HZ486351.1.1481	19
7	AY169411.1.1488;EF036467.1.1438;EU728791.1.1489;LG085094.1.1491;AY960563.1.1461;HZ485188.1.1468;ACII02000003.356829.358346;FQLI01000007.588420.589929;ACII02000003.441978.443495;HZ485187.1.1491;AY960566.1.1458;FLKC01000026.175.1601;LT631515.1.1452;FAVI01000008.1299692.1301201;AB691576.1.1481;LG085098.1.1481;LT714168.1.1432;FLKC01000014.123770.125280;HZ486356.2.1508;AB439724.1.1468;ACII02000003.48546.50064;HZ485191.1.1481;LT631543.1.1453;LT799002.1.1453;FQLI01000007.11395.12904;AY169424.1.1486;FAVI01000009.296310.297819;CZBA01000012.112579.114088;ACII02000001.1367.2884;X85101.1.1457;FLKC01000022.431649.433070;ACII02000002.195966.197483;FJVH01000009.22.1531;LN907760.1.1486;EU728792.1.1580;ACII02000002.340713.342230;EU728770.1.1485;AY305321.1.1452;FAVI01000008.1703276.1704567;HZ486354.1.1490;BABE01000945.62.1571;BABE01000244.3185.4694;L76601.1.1398;DQ986224.1.1438;AY169419.1.1490;FJVH01000013.367445.368954;FQLI01000007.276997.278506;LC010692.1.1492;FJ687607.1.1443;FLKC01000027.74000.75510;AB588023.1.1491;LC037229.1.1439;LG085095.1.1468;FQLI01000008.332592.334101;EU728789.1.1445;LT161889.1.1493;AF357567.1.1385;FQLI01000005.603062.604571;FQLI01000004.765.2274;BABE01000454.586.2095;AY305322.1.1451;LG086263.2.1508	62
8	AY169422.1.1490;CZBB01000008.97394.98904;CZAL01000009.543.2053;AB698910.1.1423;CYYV01000001.321800.323312;LBCG01000143.29282.30792;AB698912.1.1514;AB698915.1.1508	8
9	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	18
